Time,Task,Count,locate,date
8:30 8:45,,0,AM,2024-11-26
8:45 9:00,,0,AM,2024-11-26
9:00 9:15,,0,AM,2024-11-26
9:15 9:30,,0,AM,2024-11-26
9:30 9:45,混注準備,0,AM,2024-11-26
9:45 10:00,混注準備,0,AM,2024-11-26
10:00 10:15,混注準備,0,AM,2024-11-26
10:15 10:30,薬剤セット数,0,AM,2024-11-26
10:30 10:45,薬剤セット数,0,AM,2024-11-26
10:45 11:00,薬剤セット数,0,AM,2024-11-26
11:00 11:15,持参薬を確認,0,AM,2024-11-26
11:15 11:30,持参薬を確認,0,AM,2024-11-26
11:30 11:45,持参薬を確認,0,AM,2024-11-26
11:45 12:00,,0,AM,2024-11-26
12:00 12:15,,0,AM,2024-11-26
12:15 12:30,,0,AM,2024-11-26
12:30 12:45,,0,PM,2024-11-26
12:45 13:00,,0,PM,2024-11-26
13:00 13:15,,0,PM,2024-11-26
13:15 13:30,,0,PM,2024-11-26
13:30 13:45,,0,PM,2024-11-26
13:45 14:00,,0,PM,2024-11-26
14:00 14:15,,0,PM,2024-11-26
14:15 14:30,,0,PM,2024-11-26
14:30 14:45,,0,PM,2024-11-26
14:45 15:00,,0,PM,2024-11-26
15:00 15:15,,0,PM,2024-11-26
15:15 15:30,,0,PM,2024-11-26
15:30 15:45,,0,PM,2024-11-26
15:45 16:00,,0,PM,2024-11-26
16:00 16:15,,0,PM,2024-11-26
16:15 16:30,,0,PM,2024-11-26
16:30 16:45,,0,PM,2024-11-26
16:45 17:00,,0,PM,2024-11-26
