Time,Task,Count,locate,date,PhName,Comment
8:30 8:45,,0,AM,2024-12-14,,
8:45 9:00,,0,AM,2024-12-14,,
9:00 9:15,,0,AM,2024-12-14,,
9:15 9:30,,0,AM,2024-12-14,,
9:30 9:45,,0,AM,2024-12-14,,
9:45 10:00,,0,AM,2024-12-14,,
10:00 10:15,,0,AM,2024-12-14,,
10:15 10:30,薬剤セット数,0,AM,2024-12-14,,
10:30 10:45,薬剤セット数,0,AM,2024-12-14,,
10:45 11:00,薬剤セット数,0,AM,2024-12-14,,
11:00 11:15,薬剤セット数,0,AM,2024-12-14,,
11:15 11:30,薬剤セット数,0,AM,2024-12-14,,
11:30 11:45,薬剤セット数,0,AM,2024-12-14,,
11:45 12:00,,0,AM,2024-12-14,,
12:00 12:15,,0,AM,2024-12-14,,
12:15 12:30,,0,AM,2024-12-14,,
12:30 12:45,,0,[],2024-12-14,,
12:45 13:00,,0,[],2024-12-14,,
13:00 13:15,,0,[],2024-12-14,,
13:15 13:30,,0,[],2024-12-14,,
13:30 13:45,,0,[],2024-12-14,,
13:45 14:00,,0,[],2024-12-14,,
14:00 14:15,,0,[],2024-12-14,,
14:15 14:30,,0,[],2024-12-14,,
14:30 14:45,,0,[],2024-12-14,,
14:45 15:00,,0,[],2024-12-14,,
15:00 15:15,,0,[],2024-12-14,,
15:15 15:30,,0,[],2024-12-14,,
15:30 15:45,,0,[],2024-12-14,,
15:45 16:00,,0,[],2024-12-14,,
16:00 16:15,,0,[],2024-12-14,,
16:15 16:30,,0,[],2024-12-14,,
16:30 16:45,,0,[],2024-12-14,,
16:45 17:00,,0,[],2024-12-14,,
17:00 17:15,,0,[],2024-12-14,,
17:15 17:30,,0,[],2024-12-14,,
17:30 17:45,,0,[],2024-12-14,,
17:45 18:00,,0,[],2024-12-14,,
18:00 18:15,,0,[],2024-12-14,,
18:15 18:30,,0,[],2024-12-14,,
18:30 18:45,,0,[],2024-12-14,,
18:45 19:00,,0,[],2024-12-14,,
19:00 19:15,,0,[],2024-12-14,,
19:15 19:30,,0,[],2024-12-14,,
19:30 19:45,,0,[],2024-12-14,,
19:45 20:00,,0,[],2024-12-14,,
20:00 20:15,,0,[],2024-12-14,,
20:15 20:30,,0,[],2024-12-14,,
20:30 20:45,,0,[],2024-12-14,,
20:45 21:00,,0,[],2024-12-14,,
21:00 21:15,,0,[],2024-12-14,,
21:15 21:30,,0,[],2024-12-14,,
21:30 21:45,,0,[],2024-12-14,,
21:45 22:00,,0,[],2024-12-14,,
22:00 22:15,,0,[],2024-12-14,,
22:15 22:30,,0,[],2024-12-14,,
